budget,genres,release_date,revenue,runtime,status,title,vote_average,vote_count,profitability,prof
5000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",1986,328203506,97,Released,Crocodile Dundee,6.3,503,6564.07%,6564.07012
1500000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",2010,97009150,103,Released,Insidious,6.8,1737,6467.28%,6467.276667
1000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",2015,62882090,82,Released,Unfriended,5.5,1047,6288.21%,6288.209
950000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",1962,59600000,110,Released,Dr. No,6.9,940,6273.68%,6273.684211
7000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2004,424760,77,Released,Primer,6.9,658,6068.00%,6068
3000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",2010,177512032,91,Released,Paranormal Activity 2,5.7,722,5917.07%,5917.067733
8000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2011,469947,96,Released,Weekend,7.4,163,5874.34%,5874.3375
600000,"[{""id"": 36, ""name"": ""History""}, {""id"": 99, ""name"": ""Documentary""}, {""id"": 10402, ""name"": ""Music""}]",1970,34505110,225,Released,Woodstock,7.1,66,5750.85%,5750.851667
8000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",1973,441306145,122,Released,The Exorcist,7.5,2005,5516.33%,5516.326813
60000,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1998,3221152,84,Released,Pi,7.1,586,5368.59%,5368.586667
2700000,"[{""id"": 35, ""name"": ""Comedy""}]",1978,141000000,109,Released,Animal House,7,418,5222.22%,5222.222222
2500000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",1964,124881062,110,Released,Goldfinger,7.2,987,4995.24%,4995.24248
250000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1997,12021272,113,Released,Chasing Amy,6.7,433,4808.51%,4808.5088
1000000,"[{""id"": 99, ""name"": ""Documentary""}]",2006,46243000,100,Released,An Inconvenient Truth,6.7,251,4624.30%,4624.3
2600000,"[{""id"": 37, ""name"": ""Western""}, {""id"": 35, ""name"": ""Comedy""}]",1974,119500000,93,Released,Blazing Saddles,7.2,609,4596.15%,4596.153846
6000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1994,254700832,117,Released,Four Weddings and a Funeral,6.6,632,4245.01%,4245.013867
160000,"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 36, ""name"": ""History""}]",1989,6706368,91,Released,Roger & Me,7.4,90,4191.48%,4191.48
5000000,"[{""id"": 27, ""name"": ""Horror""}]",2011,205703818,83,Released,Paranormal Activity 3,5.9,669,4114.08%,4114.07636
6000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",1972,245066411,175,Released,The Godfather,8.4,5893,4084.44%,4084.440183
806948,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",1960,32000000,109,Released,Psycho,8.2,2320,3965.56%,3965.559119
2000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]",1963,78898765,115,Released,From Russia with Love,6.9,760,3944.94%,3944.93825
6500000,"[{""id"": 27, ""name"": ""Horror""}]",2014,255273813,99,Released,Annabelle,5.6,1517,3927.29%,3927.289431
4000000,"[{""id"": 27, ""name"": ""Horror""}]",2005,152925093,92,Released,Saw II,6.3,1251,3823.13%,3823.127325
1800000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2010,67738090,87,Released,The Last Exorcism,5.6,328,3763.23%,3763.227222
1000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",1963,37600000,128,Released,Tom Jones,6.1,39,3760.00%,3760
2280000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}]",1940,83320000,124,Released,Fantasia,7.2,808,3654.39%,3654.385965
3000000,"[{""id"": 18, ""name"": ""Drama""}]",1975,108981275,133,Released,One Flew Over the Cuckoo's Nest,8.2,2919,3632.71%,3632.709167
2000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2006,70000000,137,Released,The Lives of Others,7.9,958,3500.00%,3500
8200000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",1965,286214286,174,Released,The Sound of Music,7.4,941,3490.42%,3490.418122
1000000,"[{""id"": 18, ""name"": ""Drama""}]",2011,34522221,129,Released,Courageous,6.8,77,3452.22%,3452.2221
500000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",1977,17000000,97,Released,Kingdom of the Spiders,5.7,30,3400.00%,3400
14000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]",1990,463000000,119,Released,Pretty Woman,7,1746,3307.14%,3307.142857
4500000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",1984,146198896,96,Released,Police Academy,6.5,602,3248.86%,3248.864356
2600000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",1940,84300000,88,Released,Pinocchio,6.9,1355,3242.31%,3242.307692
4000000,"[{""id"": 35, ""name"": ""Comedy""}]",1981,125728258,94,Released,Porky's,6.1,183,3143.21%,3143.20645
7500000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2007,231411584,96,Released,Juno,7,2244,3085.49%,3085.487787
2800000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",1974,86273333,106,Released,Young Frankenstein,7.7,854,3081.19%,3081.190464
6000000,"[{""id"": 10749, ""name"": ""Romance""}]",1978,181813770,110,Released,Grease,7.2,1581,3030.23%,3030.2295
4000000,"[{""id"": 18, ""name"": ""Drama""}]",2003,119723856,102,Released,Lost in Translation,7.3,1895,2993.10%,2993.0964
18000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",1980,538400000,124,Released,The Empire Strikes Back,8.2,5879,2991.11%,2991.111111
3000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",2013,89328627,86,Released,The Purge,6,2428,2977.62%,2977.6209
5500000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",1973,159616327,129,Released,The Sting,7.9,622,2902.12%,2902.115036
5000000,"[{""id"": 27, ""name"": ""Horror""}]",2012,142817992,95,Released,Paranormal Activity 4,5.2,563,2856.36%,2856.35984
15000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",2010,414211549,118,Released,The King's Speech,7.6,2752,2761.41%,2761.410327
8000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",1994,213928762,154,Released,Pulp Fiction,8.3,8428,2674.11%,2674.109525
300000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",1975,8000000,80,Released,Death Race 2000,5.9,124,2666.67%,2666.666667
18000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",1990,476684675,103,Released,Home Alone,7.1,2414,2648.25%,2648.248194
300000,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 99, ""name"": ""Documentary""}]",2003,7808524,112,Released,Tupac: Resurrection,8,26,2602.84%,2602.841333
3000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",2012,77712439,110,Released,Sinister,6.7,1573,2590.41%,2590.414633
700000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",2015,17986781,103,Released,Dope,7.2,691,2569.54%,2569.540143
5500000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",1965,141195658,130,Released,Thunderball,6.5,562,2567.19%,2567.193782
125000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",2011,3200000,90,Released,Your Sister's Sister,6.5,137,2560.00%,2560
12000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",2014,307166834,125,Released,The Fault in Our Stars,7.6,3759,2559.72%,2559.723617
13000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2010,327803731,108,Released,Black Swan,7.3,4430,2521.57%,2521.567162
15000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2008,377910544,120,Released,Slumdog Millionaire,7.6,2827,2519.40%,2519.403627
1000000,"[{""id"": 18, ""name"": ""Drama""}]",1996,24475416,135,Released,Sling Blade,7.4,231,2447.54%,2447.5416
13000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",2013,318000141,112,Released,The Conjuring,7.4,3092,2446.15%,2446.154931
2500000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 27, ""name"": ""Horror""}]",2013,60141683,86,Released,A Haunted House,5.4,516,2405.67%,2405.66732
7000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",2012,167221571,110,Released,Magic Mike,6.1,1040,2388.88%,2388.879586
3500000,"[{""id"": 35, ""name"": ""Comedy""}]",1980,83453539,88,Released,Airplane!,7.1,1074,2384.39%,2384.386829
210000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",1953,5000000,80,Released,"The Beast from 20,000 Fathoms",6.7,41,2380.95%,2380.952381
15000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",1986,356830601,110,Released,Top Gun,6.7,1698,2378.87%,2378.870673
15000000,"[{""id"": 18, ""name"": ""Drama""}]",1999,356296601,122,Released,American Beauty,7.9,3313,2375.31%,2375.310673
4000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",1983,92921203,95,Released,Flashdance,6.1,302,2323.03%,2323.030075
7000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",1973,161777836,121,Released,Live and Let Die,6.4,533,2311.11%,2311.111943
6000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}, {""id"": 28, ""name"": ""Action""}]",1986,138530565,120,Released,Platoon,7.5,1205,2308.84%,2308.84275
22000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",1990,505000000,127,Released,Ghost,6.9,1339,2295.45%,2295.454545
14000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",1987,320145693,119,Released,Fatal Attraction,6.6,291,2286.75%,2286.75495
1800000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",1971,41158757,104,Released,The French Connection,7.4,422,2286.60%,2286.597611
10000000,"[{""id"": 18, ""name"": ""Drama""}]",1997,225933435,126,Released,Good Will Hunting,7.9,2811,2259.33%,2259.33435
200000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",1996,4505922,94,Released,Swingers,6.8,253,2252.96%,2252.961
5000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",2000,110000000,110,Released,Billy Elliot,7.4,750,2200.00%,2200
560000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",1964,12299668,88,Released,A Hard Day's Night,7.3,168,2196.37%,2196.369286
3500159,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2002,76578641,112,Released,Bend It Like Beckham,6.2,578,2187.86%,2187.86178
2800000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",1976,60922980,111,Released,The Omen,7.2,476,2175.82%,2175.820714
385907,"[{""id"": 18, ""name"": ""Drama""}]",1916,8394751,197,Released,Intolerance,7.4,60,2175.33%,2175.330067
1300000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",1976,28262574,114,Released,Taxi Driver,8,2535,2174.04%,2174.044154
18000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",1981,389925971,115,Released,Raiders of the Lost Ark,7.7,3854,2166.26%,2166.255394
11000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",1999,235483004,95,Released,American Pie,6.4,2296,2140.75%,2140.754582
1000000,"[{""id"": 27, ""name"": ""Horror""}]",1980,21378361,89,Released,The Fog,6.4,311,2137.84%,2137.8361
15000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",1984,316360478,105,Released,Beverly Hills Cop,6.8,961,2109.07%,2109.069853
5000000,"[{""id"": 27, ""name"": ""Horror""}]",2014,103590271,89,Released,Ouija,4.9,983,2071.81%,2071.80542
30000000,"[{""id"": 18, ""name"": ""Drama""}]",2004,611899420,127,Released,The Passion of the Christ,6.9,864,2039.66%,2039.664733
1500000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}]",2007,30448000,78,Released,[REC],7.1,934,2029.87%,2029.866667
19000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]",1985,381109762,116,Released,Back to the Future,8,6079,2005.84%,2005.840853
18000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",1992,358991681,120,Released,Home Alone 2: Lost in New York,6.3,2395,1994.40%,1994.398228
6000000,"[{""id"": 99, ""name"": ""Documentary""}]",2004,119114517,122,Released,Fahrenheit 9/11,6.8,397,1985.24%,1985.24195
5000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",2015,98450062,94,Released,The Visit,6,1360,1969.00%,1969.00124
7500000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",1989,145793296,99,Released,Driving Miss Daisy,7,350,1943.91%,1943.910613
3300000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",2015,64110728,83,Released,The Lazarus Effect,5.1,505,1942.75%,1942.749333
22000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}]",1990,424208848,181,Released,Dances with Wolves,7.6,1046,1928.22%,1928.222036
150000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2002,2891288,78,Released,Tadpole,5.5,19,1927.53%,1927.525333
2090000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1970,40000000,109,Released,Beyond the Valley of the Dolls,6.6,53,1913.88%,1913.875598
1650000,"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1953,30500000,118,Released,From Here to Eternity,7.2,133,1848.48%,1848.484848
10000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",2004,183474602,92,Released,The Grudge,5.8,865,1834.75%,1834.74602
15000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2001,274925095,125,Released,Spirited Away,8.3,3840,1832.83%,1832.833967
5500000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",2013,99067206,115,Released,Instructions Not Included,7.5,205,1801.22%,1801.221927
28000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",1992,504050219,90,Released,Aladdin,7.4,3416,1800.18%,1800.179354
1000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}]",1981,17985893,91,Released,The Howling,6.4,161,1798.59%,1798.5893
100000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",2011,1776935,92,Released,Another Earth,6.8,527,1776.94%,1776.935
32350000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",1983,572700000,135,Released,Return of the Jedi,7.9,4665,1770.32%,1770.324575
25000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",1993,441286195,125,Released,Mrs. Doubtfire,7,1591,1765.14%,1765.14478
45000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",1994,788241776,89,Released,The Lion King,8,5376,1751.65%,1751.648391
10000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2001,173921954,122,Released,Amélie,7.8,3310,1739.22%,1739.21954
1250000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",1981,21722776,87,Released,Friday the 13th Part 2,6,315,1737.82%,1737.82208
500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",2003,8679814,88,Released,The Station Agent,7.4,210,1735.96%,1735.9628
5000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",2014,86362372,84,Released,Paranormal Activity: The Marked Ones,5.2,449,1727.25%,1727.24744
6000000,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}, {""id"": 80, ""name"": ""Crime""}]",1969,102308889,110,Released,Butch Cassidy and the Sundance Kid,7.4,650,1705.15%,1705.14815
6000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",1964,102272727,139,Released,Mary Poppins,7.4,1183,1704.55%,1704.54545
2000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",2009,33965843,129,Released,The Secret in Their Eyes,7.8,626,1698.29%,1698.29215
3705538,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1992,62548947,112,Released,The Crying Game,6.9,176,1687.99%,1687.985577
40000000,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",1999,672806292,107,Released,The Sixth Sense,7.7,3147,1682.02%,1682.01573
4800000,"[{""id"": 27, ""name"": ""Horror""}]",2005,80578934,94,Released,Hostel,5.7,887,1678.73%,1678.727792
